Mar 27 17:28:14 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 106.17, long 100.82, max 300.00
Mar 27 17:28:24 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.15, long 100.82, max 101.00
Mar 27 17:28:34 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.16, long 100.82, max 101.00
Mar 27 17:28:44 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.22, long 100.82, max 101.00
Mar 27 17:28:54 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.17, long 100.82, max 102.00
Mar 27 17:29:04 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 102.17, long 100.82, max 300.00
Mar 27 17:29:14 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.23, long 100.82, max 102.00
Mar 27 17:29:24 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.15, long 100.82, max 102.00
Mar 27 17:29:34 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.19, long 100.82, max 102.00
Mar 27 17:29:44 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.20, long 100.82, max 102.00
Mar 27 17:29:54 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.16, long 100.82, max 101.00
Mar 27 17:30:05 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 103.20, long 100.82, max 303.00
Mar 27 17:30:15 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.22, long 100.82, max 102.00
Mar 27 17:30:25 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.26, long 100.82, max 102.00
Mar 27 17:30:35 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.22, long 100.82, max 102.00
Mar 27 17:30:45 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 103.18, long 100.82, max 301.00
Mar 27 17:30:55 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.15, long 100.82, max 101.00
Mar 27 17:31:05 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.12, long 100.82, max 101.00
Mar 27 17:31:15 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.16, long 100.82, max 101.00
Mar 27 17:31:25 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.18, long 100.82, max 101.00
Mar 27 17:31:35 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.22, long 100.82, max 101.00
Mar 27 17:31:45 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 102.13, long 100.82, max 300.00
Mar 27 17:31:56 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.25, long 100.82, max 102.00
Mar 27 17:32:06 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.25, long 100.82, max 102.00
Mar 27 17:32:16 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.16, long 100.82, max 102.00
Mar 27 17:32:26 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.22, long 100.82, max 103.00
Mar 27 17:32:36 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 102.15, long 100.82, max 301.00
Mar 27 17:32:46 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.20, long 100.82, max 102.00
Mar 27 17:32:56 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.19, long 100.82, max 101.00
